"","year","state","CVE_GEO","deaths"
"1471",2014,"Nuevo Leon",19,26173
"1472",2014,"Oaxaca",20,26763
"1473",2014,"Puebla",21,35100
"1474",2014,"Queretaro",22,9610
"1475",2014,"Quintana Roo",23,5777
"1476",2014,"San Luis Potosi",24,17158
"1477",2014,"Sinaloa",25,17373
"1478",2014,"Sonora",26,15172
"1479",2014,"State of Mexico",15,80601
"1480",2014,"Tabasco",27,12166
"1481",2014,"Tamaulipas",28,19421
"1482",2014,"Tlaxcala",29,6856
"1483",2014,"Veracruz",30,53565
"1484",2014,"Yucatan",31,12846
"1485",2014,"Zacatecas",32,9678
"1486",2015,"Aguascalientes",1,6441
"1487",2015,"Baja California",2,15764
"1488",2015,"Baja California Sur",3,3356
"1489",2015,"Campeche",4,5201
"1490",2015,"Chiapas",7,27164
"1491",2015,"Chihuahua",8,19012
"1492",2015,"Coahuila",5,15855
"1493",2015,"Colima",6,4053
"1494",2015,"Durango",10,10126
"1495",2015,"Guanajuato",11,32419
"1496",2015,"Guerrero",12,24411
"1497",2015,"Hidalgo",13,17742
"1498",2015,"Jalisco",14,44650
"1499",2015,"Mexico City",9,60913
"1500",2015,"Michoacan",16,29370
"1501",2015,"Morelos",17,12530
"1502",2015,"National",0,701961
"1503",2015,"Nayarit",18,7201
"1504",2015,"Nuevo Leon",19,27484
"1505",2015,"Oaxaca",20,27881
"1506",2015,"Puebla",21,36716
"1507",2015,"Queretaro",22,10144
"1508",2015,"Quintana Roo",23,6208
"1509",2015,"San Luis Potosi",24,17948
"1510",2015,"Sinaloa",25,18238
"1511",2015,"Sonora",26,15868
"1512",2015,"State of Mexico",15,85312
"1513",2015,"Tabasco",27,12793
"1514",2015,"Tamaulipas",28,20382
"1515",2015,"Tlaxcala",29,7196
"1516",2015,"Veracruz",30,56143
"1517",2015,"Yucatan",31,13389
"1518",2015,"Zacatecas",32,10051
"1519",2016,"Aguascalientes",1,6565
"1520",2016,"Baja California",2,16158
"1521",2016,"Baja California Sur",3,3460
"1522",2016,"Campeche",4,5304
"1523",2016,"Chiapas",7,27651
"1524",2016,"Chihuahua",8,19373
"1525",2016,"Coahuila",5,16217
"1526",2016,"Colima",6,4129
"1527",2016,"Durango",10,10275
"1528",2016,"Guanajuato",11,32882
"1529",2016,"Guerrero",12,24656
"1530",2016,"Hidalgo",13,18065
"1531",2016,"Jalisco",14,45305
"1532",2016,"Mexico City",9,62103
"1533",2016,"Michoacan",16,29650
"1534",2016,"Morelos",17,12774
"1535",2016,"National",0,714867
"1536",2016,"Nayarit",18,7302
"1537",2016,"Nuevo Leon",19,28123
"1538",2016,"Oaxaca",20,28169
"1539",2016,"Puebla",21,37275
"1540",2016,"Queretaro",22,10374
"1541",2016,"Quintana Roo",23,6428
"1542",2016,"San Luis Potosi",24,18230
"1543",2016,"Sinaloa",25,18594
"1544",2016,"Sonora",26,16180
"1545",2016,"State of Mexico",15,87624
"1546",2016,"Tabasco",27,13043
"1547",2016,"Tamaulipas",28,20790
"1548",2016,"Tlaxcala",29,7330
"1549",2016,"Veracruz",30,57041
"1550",2016,"Yucatan",31,13594
"1551",2016,"Zacatecas",32,10164
"1552",2017,"Aguascalientes",1,6769
"1553",2017,"Baja California",2,16756
"1554",2017,"Baja California Sur",3,3597
"1555",2017,"Campeche",4,5437
"1556",2017,"Chiapas",7,28286
"1557",2017,"Chihuahua",8,19988
"1558",2017,"Coahuila",5,16707
"1559",2017,"Colima",6,4239
"1560",2017,"Durango",10,10506
"1561",2017,"Guanajuato",11,33588
"1562",2017,"Guerrero",12,24919
"1563",2017,"Hidalgo",13,18486
"1564",2017,"Jalisco",14,46456
"1565",2017,"Mexico City",9,63516
"1566",2017,"Michoacan",16,30103
"1567",2017,"Morelos",17,13070
"1568",2017,"National",0,732161
"1569",2017,"Nayarit",18,7463
"1570",2017,"Nuevo Leon",19,29049
"1571",2017,"Oaxaca",20,28531
"1572",2017,"Puebla",21,38030
"1573",2017,"Queretaro",22,10728
"1574",2017,"Quintana Roo",23,6712
"1575",2017,"San Luis Potosi",24,18543
"1576",2017,"Sinaloa",25,19056
"1577",2017,"Sonora",26,16683
"1578",2017,"State of Mexico",15,90416
"1579",2017,"Tabasco",27,13375
"1580",2017,"Tamaulipas",28,21307
"1581",2017,"Tlaxcala",29,7487
"1582",2017,"Veracruz",30,58109
"1583",2017,"Yucatan",31,13914
"1584",2017,"Zacatecas",32,10318
"1585",2018,"Aguascalientes",1,6952
"1586",2018,"Baja California",2,17284
"1587",2018,"Baja California Sur",3,3723
"1588",2018,"Campeche",4,5552
"1589",2018,"Chiapas",7,28784
"1590",2018,"Chihuahua",8,20480
"1591",2018,"Coahuila",5,17135
"1592",2018,"Colima",6,4338
"1593",2018,"Durango",10,10684
"1594",2018,"Guanajuato",11,34104
"1595",2018,"Guerrero",12,25054
"1596",2018,"Hidalgo",13,18809
"1597",2018,"Jalisco",14,47335
"1598",2018,"Mexico City",9,64657
"1599",2018,"Michoacan",16,30425
"1600",2018,"Morelos",17,13318
"1601",2018,"National",0,746100
"1602",2018,"Nayarit",18,7587
"1603",2018,"Nuevo Leon",19,29854
"1604",2018,"Oaxaca",20,28759
"1605",2018,"Puebla",21,38582
"1606",2018,"Queretaro",22,11035
"1607",2018,"Quintana Roo",23,6975
"1608",2018,"San Luis Potosi",24,18757
"1609",2018,"Sinaloa",25,19436
"1610",2018,"Sonora",26,17120
"1611",2018,"State of Mexico",15,92755
"1612",2018,"Tabasco",27,13667
"1613",2018,"Tamaulipas",28,21728
"1614",2018,"Tlaxcala",29,7626
"1615",2018,"Veracruz",30,58900
"1616",2018,"Yucatan",31,14183
"1617",2018,"Zacatecas",32,10439
"1618",2019,"Aguascalientes",1,7141
"1619",2019,"Baja California",2,17861
"1620",2019,"Baja California Sur",3,3853
"1621",2019,"Campeche",4,5657
"1622",2019,"Chiapas",7,29348
"1623",2019,"Chihuahua",8,21049
"1624",2019,"Coahuila",5,17609
"1625",2019,"Colima",6,4445
"1626",2019,"Durango",10,10904
"1627",2019,"Guanajuato",11,34720
"1628",2019,"Guerrero",12,25245
"1629",2019,"Hidalgo",13,19204
"1630",2019,"Jalisco",14,48376
"1631",2019,"Mexico City",9,65931
"1632",2019,"Michoacan",16,30809
"1633",2019,"Morelos",17,13581
"1634",2019,"National",0,761787
"1635",2019,"Nayarit",18,7747
"1636",2019,"Nuevo Leon",19,30720
"1637",2019,"Oaxaca",20,29051
"1638",2019,"Puebla",21,39228
"1639",2019,"Queretaro",22,11387
"1640",2019,"Quintana Roo",23,7256
"1641",2019,"San Luis Potosi",24,19017
"1642",2019,"Sinaloa",25,19851
"1643",2019,"Sonora",26,17604
"1644",2019,"State of Mexico",15,95357
"1645",2019,"Tabasco",27,13971
"1646",2019,"Tamaulipas",28,22198
"1647",2019,"Tlaxcala",29,7778
"1648",2019,"Veracruz",30,59833
"1649",2019,"Yucatan",31,14472
"1650",2019,"Zacatecas",32,10571
"1651",2020,"Aguascalientes",1,7324
"1652",2020,"Baja California",2,18424
"1653",2020,"Baja California Sur",3,3983
"1654",2020,"Campeche",4,5784
"1655",2020,"Chiapas",7,29867
"1656",2020,"Chihuahua",8,21560
"1657",2020,"Coahuila",5,18036
"1658",2020,"Colima",6,4550
"1659",2020,"Durango",10,11091
"1660",2020,"Guanajuato",11,35274
"1661",2020,"Guerrero",12,25398
"1662",2020,"Hidalgo",13,19544
"1663",2020,"Jalisco",14,49308
"1664",2020,"MCMA",33,NA
"1665",2020,"Mexico City",9,67078
"1666",2020,"Michoacan",16,31141
"1667",2020,"Morelos",17,13825
"1668",2020,"National",0,776256
"1669",2020,"Nayarit",18,7892
