"","year","state","CVE_GEO","population"
"563",1987,"Baja California",2,1528173
"564",1987,"Baja California Sur",3,287702
"565",1987,"Campeche",4,511090
"566",1987,"Chiapas",7,2919898
"567",1987,"Chihuahua",8,2354081
"568",1987,"Coahuila",5,1874368
"569",1987,"Colima",6,410181
"570",1987,"Durango",10,1333685
"571",1987,"Guanajuato",11,3751674
"572",1987,"Guerrero",12,2539252
"573",1987,"Hidalgo",13,1824595
"574",1987,"Jalisco",14,5148235
"575",1987,"Mexico City",9,8645456
"576",1987,"Michoacan",16,3440008
"577",1987,"Morelos",17,1136598
"578",1987,"National",0,78516570
"579",1987,"Nayarit",18,812677
"580",1987,"Nuevo Leon",19,2949429
"581",1987,"Oaxaca",20,2909362
"582",1987,"Puebla",21,3999614
"583",1987,"Queretaro",22,971672
"584",1987,"Quintana Roo",23,408895
"585",1987,"San Luis Potosi",24,1948781
"586",1987,"Sinaloa",25,2128729
"587",1987,"Sonora",26,1755712
"588",1987,"State of Mexico",15,9299040
"589",1987,"Tabasco",27,1387860
"590",1987,"Tamaulipas",28,2188453
"591",1987,"Tlaxcala",29,711412
"592",1987,"Veracruz",30,6108628
"593",1987,"Yucatan",31,1298204
"594",1987,"Zacatecas",32,1265972
"595",1988,"Aguascalientes",1,690383
"596",1988,"Baja California",2,1584462
"597",1988,"Baja California Sur",3,299780
"598",1988,"Campeche",4,524164
"599",1988,"Chiapas",7,3048847
"600",1988,"Chihuahua",8,2403595
"601",1988,"Coahuila",5,1922685
"602",1988,"Colima",6,419432
"603",1988,"Durango",10,1352729
"604",1988,"Guanajuato",11,3863708
"605",1988,"Guerrero",12,2596709
"606",1988,"Hidalgo",13,1863685
"607",1988,"Jalisco",14,5256093
"608",1988,"Mexico City",9,8564441
"609",1988,"Michoacan",16,3517552
"610",1988,"Morelos",17,1164845
"611",1988,"National",0,80159102
"612",1988,"Nayarit",18,823735
"613",1988,"Nuevo Leon",19,3017175
"614",1988,"Oaxaca",20,2983024
"615",1988,"Puebla",21,4088618
"616",1988,"Queretaro",22,1008304
"617",1988,"Quintana Roo",23,440387
"618",1988,"San Luis Potosi",24,1986112
"619",1988,"Sinaloa",25,2169239
"620",1988,"Sonora",26,1791303
"621",1988,"State of Mexico",15,9562978
"622",1988,"Tabasco",27,1438881
"623",1988,"Tamaulipas",28,2225515
"624",1988,"Tlaxcala",29,735349
"625",1988,"Veracruz",30,6201300
"626",1988,"Yucatan",31,1332321
"627",1988,"Zacatecas",32,1281751
"628",1989,"Aguascalientes",1,713800
"629",1989,"Baja California",2,1641275
"630",1989,"Baja California Sur",3,312048
"631",1989,"Campeche",4,537160
"632",1989,"Chiapas",7,3179027
"633",1989,"Chihuahua",8,2452515
"634",1989,"Coahuila",5,1970952
"635",1989,"Colima",6,428640
"636",1989,"Durango",10,1371086
"637",1989,"Guanajuato",11,3975848
"638",1989,"Guerrero",12,2653450
"639",1989,"Hidalgo",13,1902284
"640",1989,"Jalisco",14,5362434
"641",1989,"Mexico City",9,8470761
"642",1989,"Michoacan",16,3594152
"643",1989,"Morelos",17,1192951
"644",1989,"National",0,81778775
"645",1989,"Nayarit",18,834347
"646",1989,"Nuevo Leon",19,3084699
"647",1989,"Oaxaca",20,3056017
"648",1989,"Puebla",21,4176513
"649",1989,"Queretaro",22,1045269
"650",1989,"Quintana Roo",23,472674
"651",1989,"San Luis Potosi",24,2022741
"652",1989,"Sinaloa",25,2209082
"653",1989,"Sonora",26,1826439
"654",1989,"State of Mexico",15,9827414
"655",1989,"Tabasco",27,1490295
"656",1989,"Tamaulipas",28,2261739
"657",1989,"Tlaxcala",29,759427
"658",1989,"Veracruz",30,6290690
"659",1989,"Yucatan",31,1366257
"660",1989,"Zacatecas",32,1296789
"661",1990,"Aguascalientes",1,737359
"662",1990,"Baja California",2,1698647
"663",1990,"Baja California Sur",3,324488
"664",1990,"Campeche",4,550083
"665",1990,"Chiapas",7,3310269
"666",1990,"Chihuahua",8,2500885
"667",1990,"Coahuila",5,2019221
"668",1990,"Colima",6,437763
"669",1990,"Durango",10,1388753
